是否看过,日期,评星,赞成数,评论内容
看过,2017-10-10 10:11:12,还行,101," 三星半。在类型创意上有极大突破，在这个层面我们不能仅仅当它是亚洲电影来看了。不过缺点也是有的，戏剧逻辑和角色动机还是有太多瑕疵，这种以牺牲配角人设来完成主角光环的弊端在结局时刻彻底喷发了，用5分钟打散了前2小时。还不如大家一起唱大鹏的《都选C》。
        "
看过,2017-10-09 22:18:33,力荐,167," 真人真事，所以算是被强行剧透了吧。女主演技派超模，低配版苍井优。紧锁的眉头，汗湿的前额，交错的眼神，把节奏带得极为紧张。一部校园片，拍的比谍战片还精彩。镜头非常泰式小清新，并没有为了故弄玄虚而失去美感。剪辑赞，紧张感、幽默感，把握的都非常有分寸。难得的烧脑又不失娱乐性的佳作。
        "
看过,2017-10-13 13:26:02,较差,76," 有效的桥没几个，反倒是大把时间都在无谓的耗时间
        "
看过,2017-10-18 20:05:59,推荐,33," 4.0。1.完美作弊的难度之大，没经历过的人不会懂。2.女主霸气全开，灵光乍现瞬间的谍战气息，雷厉风行时刻的侠女风范。3.屁鹅黑化的走向很带感，期待续集。
        "
看过,2017-10-22 21:40:26,力荐,55," 看得我心脏砰砰跳
        "
看过,2017-10-14 22:26:15,推荐,102," 相比富裕群体，贫困阶层真的更容易丧失底线，在这种情况下实现社会地位上升，也就更考验能力、道德，还有不可或缺的运气。以及，女主的长相其实很高级，而且“蜂腰猿背，鹤势螂形”，连富人都不排斥她，而是把她当成朋友，必成大器。
        "
看过,2017-10-14 18:16:28,推荐,71," 看得比较过瘾，故事非常紧凑，一气呵成。女主我觉得很美，有气质，年纪轻轻但能量十足各种飙演技，感觉气场都出来了，喜欢上了。男主很帅，阳光乖巧青春倔强的那种帅。除了“作弊”作为主线线索，影片还触及到了教育的“成本”，底层翻身的不易，天才与道德的博弈与选择，等等方面，好看。
        "
看过,2017-10-17 15:30:29,还行,37," 任何国家都不可能在青少年作弊问题上做出什么价值观的妥协，所以结尾也可以预料。作弊也挺难拍的，拍成这样不错了。但确实也并不算好看，我看得都不耐烦了……
        "
看过,2017-10-19 00:13:42,推荐,49," 结尾停到开门那一刻就好了。。
        "
看过,2017-10-09 20:02:45,力荐,120," 比预期的还要好，完成度不亚于任何一部悬疑片，这样的创意不仅令人拍案叫绝，更值得每一个国家反思自己的教育制度。尤其是考试中令人目不暇接的穿插以及那场地铁追逐戏，紧张刺激程度令我找回了看《情枭的黎明》的感觉。结尾处不落俗套，男主性格的转变更上升到了人性探究的高度。当之无愧的年度佳作。
        "
看过,2017-10-18 21:00:44,力荐,95," 看这部电影简直唤起了那些被考试支配的岁月。还好现在没有考场考试这件事情了，太难啦。
        "
看过,2017-10-13 22:14:44,推荐,58," 全长标题：苍井优和甄子丹和小猪和阿Sa的作弊风云。我觉得日语版大结局会是这样的：are you ready? no, i'm man ! (掀桌)
        "
看过,2017-10-15 22:38:02,力荐,68," 泰国小演员们的表演真是清新自然不做作，演技吊打现在一众只会撅嘴瞪眼歪头的鲜肉小花们，中间的高潮戏从剪辑配乐到节奏真是叫人提心吊胆，看的时候心就是在嗓子眼儿悬着，真是近期看过最精彩的电影了
        "
看过,2017-10-13 21:31:05,还行,49," 人们会怀着猎奇心理来看，毕竟谁的人生无数次考试中没有做过弊？如果放在十年前方法或许还行，现在看来太老土，不算什么黑科技。所以真实事件先行，补充想象，天马行空，增加空间紧张气氛，人物转变立场缺乏逻辑。另外大天朝考场厕所没有门，统一用笔，想照搬也难，最黑暗易行的方法应该还是买通考官。
        "
看过,2017-10-15 11:00:52,还行,58," 感觉过誉了
        "
看过,2017-07-26 13:34:57,还行,60," 20170725 是可以推薦的片子，但我個人沒愛啦。對於最後Lynn的道德感重回跟Bank的沈淪無法諒解，要是兩人開啟像鴛鴦大盜的生涯我還覺得能不同以往。這世代的我們，就是要用專長叛逆的走出自己的一條路啊。一千萬，不會被關，在歷史留名，將這個世界一軍，多好。
        "
看过,2017-10-14 20:07:17,还行,71," 为啥我觉得也就那样……为啥我没有血脉喷张……我出了什么问题……我开始怀疑我至己！
        "
看过,2017-06-08 19:22:26,推荐,112," 泰国不止是有爱情喜剧和恐怖片。学霸作弊的电影主题不多见，节奏超快。女主虽然颜值不高，但是气场两米八，和bank对视时配一脸
        "
看过,2017-10-15 16:58:26,推荐,29," 富人家少爷花钱雇枪手代考，穷人家孩子只能凭才智和各种身体技术博出头，看得人心酸。孩子固然不对，教育制度也不清白。导演在校园青春电影里集中表达了各种社会矛盾，值得赞赏。跨洋作弊的长段交叉剪辑和各种意外最抓人，其他部分则平平，回归正轨转折得相当生硬。男女主角和父亲的表演给人印象深刻。
        "
看过,2017-10-13 23:42:16,还行,55," 无聊的时候真是坐如针毡，紧张的时候，真TM感觉自己在作弊一样。
        "
