是否看过,日期,评星,赞成数,评论内容
看过,2018-01-03 13:06:28,还行,39," 节奏很快，段子串着段子，然后找些年轻人的前任情感泪点。本来以为前任3是个大烂片，但居然是个及格片，依然美式喜剧套路。但整容脸林佳演技有点差，那个王梓老成这样还叫人大叔？想叫她大妈。导演编剧很有工体三里屯玩耍经历，对都市男女情感，陌生异性互撩，双胞胎组局互为僚机这些段子运用很娴熟
        "
看过,2018-01-01 23:41:12,None,85," 它不好，但是我看哭了。不是被感动，是觉得感情太复杂，很心痛。
        "
看过,2017-12-25 17:57:34,推荐,162," 看哭了，我是不是自我代入太努力
        "
看过,2017-12-30 20:15:09,较差,71," 感觉田羽生导演做了一篇《大话西游之大圣娶亲》的影评，别人是写，他是拍。
        "
看过,2018-01-04 18:52:03,None,70," 你们知道这片子牛逼在哪么？这片子的推广太牛逼了，头条，抖音，快手，各种app，各种吃瓜群众莫名其妙的推波助澜，说实话，像我这种单细胞性格的人八辈子也不会看这种类型的电影，但我也被吸引了，这种烂片能吸引到我，这波推广，牛逼！
        "
看过,2018-01-06 10:35:30,很差,33," 18年第一桩迷案，小镇青年也有点追求，有点出息！偶尔逛大学校园见满路热吻舔，随随便便把手分，不禁惶恐这代年轻人会怎样改变中国电影，对待爱情。回头看竟然给第一部五星，我的天哪，我这个可耻的情感动物。毫无生活感的潦草产物
        "
看过,2018-01-05 14:11:37,很差,59," 那些声称哭到眼睛肿的人是怎么肥四？我整个观影过程都是黑人问号脸。没有剧情，段子拼凑，灾难表演，虽说在这一类男人女人那点儿破事儿的国产片里面确实算是段子还OK的，但是眼看着就要奔10亿+去了我是很吃惊的。但转念一想，这片土地的票房冠军可是《某狼2》啊，那还有什么是不可能的呢？
        "
看过,2018-01-05 07:38:25,很差,64," 看这个能哭的人也是感人，还不如77次拍的好。马狗说的“干净”真是恶心死人，包括里面主角的价值观，我一男的都觉得羞耻。单一正反打，穿插状态，MV质感摄影，糟糕的台词，分不清楚长相的演员，这片还能卖那么多钱，你们真牛逼，中国电影的未来就靠你们了。

同时，建议打高分的去看看伍迪艾伦。
        "
看过,2017-12-30 12:54:03,推荐,68," 就算我是韩庚的骨灰粉，但这个电影真的让我心里奔来无数草泥马…女三是大妈吧，大叔你妹啊大叔。女主你就作吧。全片整容脸，两个男角总体还不错，但是导演，真想送你一句mmp!!
        "
看过,2018-01-04 22:32:49,很差,68," 真是矫揉造作的一个电影。前半部玩性喜剧用最老套的梗，后半部玩深情用最幼稚的煽情。都市男女真的只能用夜店去表现失恋，用备胎转正代表新生吗。成熟一点都2018年了。成年人要去迷信现任永远比前任好，明天才会更好。看这个电影还能哭的25岁以上人士，真的要好好反省自己的人生了。
        "
看过,2017-12-27 21:19:52,力荐,121," 看过26号点映~影片质量远超预期，继承了第一部走肾又走心的风格，依旧有接地气而不低俗的笑料、触动人心但非刻意煽情的泪点，不少犀利台词金句笑谈两性关系、剖析现代爱情观，能让人一边爆笑一面反思也是难得~如今有趣且有思考的爱情电影不多，前任3还是值得一看~
        "
看过,2018-01-03 00:22:37,还行,44," 3.4星。竟然是元旦最佳？1.韩庚瘦了。2.那个叫韩庚大叔的妹子，低配陈意涵高配蔡明，你是70后吧？3.一开始都在等谁先开口，后来都在等谁先放手。4.有时候两个人在一起不是因为相爱，而是因为寂寞。5.孙悟空和吃芒果那段矫情但算高招儿。6.那些说看完嚎啕大哭的，你们的泪点。。。在脚后跟吧。。
        "
看过,2018-01-05 20:54:17,很差,51," 能给片子四星及以上的人基本上跟片子里的作逼一样，经历过一样的事情，也有一样的行为，所以才能如此臭味相投，热泪盈眶，毕竟物以类聚么。
        "
看过,2017-12-29 22:13:45,还行,28," 应该是三部曲里剧本最好的一部了。其实算是一部成长电影，经过前两部的探索，性喜剧的结构和桥段也日渐成熟，性喜剧的多种表现形式之一，对不少欧美性喜剧元素处理的也蛮舒服，这个方向挺好。相比前两部，这部最大优势在剧作的完整度，但问题依然在演员表演和台词，以及剧集化的场面调度上。
        "
看过,2017-12-30 17:54:44,还行,67," 什么人都能演电影为什么还没人找我演电影系列
        "
看过,2018-01-05 05:39:22,很差,62," 烂片，不过公关宣传得不错啊，各大社交软件里面的十七八岁的小年轻个个都说看哭了。也许我年纪大了，发觉电影里面的台词很尴尬...
        "
看过,2018-01-01 00:28:48,较差,26," 其实核心以及讲故事的视角基础都是有问题的，每一次展开是编剧的想当然，并非建立在独立的人性之上。摄影是可以过关的，谨慎的使用了紧的镜头去意识先行的投注感情，反而在中景中有一丝焦虑。演员们表演太差，女演员方面大拖后腿，韩庚基本过关。
        "
看过,2017-12-29 19:52:50,还行,27," 和《前任2》相比，笑点差了太多了，笑点太生硬了。看到一半都有点看不下去了。但结局的泪点设计得还可以。看来编剧，哪怕是喜剧编剧，就得够狠，让有情人硬生生地分开……
        "
看过,2017-12-28 21:10:47,较差,88," 说着羞耻度爆表台词的一群作精的自以为十分感人的心灵毒鸡汤电影。
        "
看过,2018-01-06 19:45:17,较差,32," 张口男人如何如何闭口女人如何如何……这腔调真让人反感至极。
        "
看过,2018-01-07 09:54:46,很差,24," 三观腐臭到令人作呕。这个片子的票房完爆了星战8，内心五味杂陈
        "
看过,2017-12-26 22:07:33,还行,69," 感情是具有流动性的，不可能长时间固定在某个人身上，所以别再抱有任何不切实际的幻想了，成长就是接受啊。
        "
看过,2018-01-04 11:59:16,很差,60," 我和我的前任在电影院看着哭泣的观众惊呆了。
        "
看过,2018-01-03 21:03:09,较差,21," 三俗，真·微信时代的爱情。这里面的人研读一下《男人来自火星女人来自金星》就不会作死了。但有一点好的是，它重视说再见的意义，尽管是极度煽情和戏剧化的告别仪式。“这是个流行离开的世界，但我们都不擅长告别”。
        "
看过,2017-12-27 00:20:41,较差,64," 里面很多感情情绪都懂，但！
        "
看过,2018-01-06 00:49:14,很差,30," 前任3不就是QQ空间男人看了会沉默女人看了会流泪的金句合集，对不起理解不了这种自残式的“爱情”
        "
看过,2017-12-30 16:48:44,力荐,69," 不知道为什么，真的很喜欢最后这一部的前任。很多人为最后吃芒果和广场表白感动，我却为林决定放弃约备胎喝酒释放情绪的戏动容，这里其实已经注定了结局，虽然基本算是误会导致的，但却使两人都解脱了。郑恺和韩庚是两类爱情，如果可以在一起，就无所顾虑的在一起，如果没有信心，就不要彼此拖沓。
        "
看过,2017-12-19 16:01:35,还行,28,
看过,2017-12-29 22:58:08,还行,44," 双胞胎那块很好笑！
        "
看过,2017-12-29 18:11:29,还行,27,
看过,2017-12-29 20:54:42,推荐,74," 还不错啊，同一场里的年轻男女共鸣很大啊。一下笑一下呜的，很像陈意涵那个小妞跟韩庚说你喜欢我跟她一样泡面放鸡蛋爱小狗的时候后排一个男的说，知道太多了吧。吃芒果殉情那里确实挺虐的。
        "
看过,2018-01-04 18:06:12,很差,33," 这摄影是近年看过最差的了，电视剧都不如。剧情也真够了，煽煽煽煽煽。白眼掀翻了天花板。从第一句台词就开始讨厌的电影就是这一部了，没有之一。观影途中擦眼睛都很小心，怕隔壁误会我被感动到哭。
        "
看过,2018-01-07 12:01:45,较差,14," 当我因为舆论和票房不断走高，而选择在它上映一周后走入影院去看，这不是工作和好奇能理解的，我为自己的“被动”以及“被牵着走”而感到羞耻。
        "
看过,2018-01-06 18:27:01,较差,17," 带着现任来看前任的也挺牛掰的，我旁边女孩哭成傻子了。2.5吧
        "
看过,2018-01-04 22:52:11,还行,23," 商业电影是不用讨好影评人的，评分也没法左右票房，这就是一部非常成功的商业电影。在这个元旦档期，荣幸之至见证了两种成功，一种是艺术电影的成功，一种是国产商业IP的成功。毫无疑问，前任的票房一定会超过芳华，芳华的评分一定会盖过前任，但他们都完成了自己的使命，最后赢家是华谊兄弟。
        "
看过,2018-01-05 12:23:01,较差,26," 蔡明老师你为什么整成陈意涵去喊韩庚大叔？票房我真的不懂。愁。
        "
看过,2018-01-06 14:07:09,推荐,12," 我笑点低，前半段确实能让我笑到眼泪都掉下来，但后半段负责催泪的部分我却全程免疫了。。。在射手座的字典里，并没有死撑也不主动的经历，所以不懂他俩矜持墨迹个什么劲儿。
        "
看过,2017-12-22 17:04:38,还行,41," 搞笑都在郑恺线，剧情都在韩庚线，虽然取巧还算自圆其说。两场了断局最好笑，其余部分没劲。恺哥看着不高啊，曾梦雪真人比电影里好看，于文文超美可惜没来现场啊#12.22上海影城见面会
        "
看过,2017-12-29 23:08:40,还行,32," 韩庚一定演的是土象星座的……
        "
看过,2018-01-02 22:04:55,很差,33," 某男子站广场中央身着古装头上顶着两块年糕嘴里不停对着空气大喊：林佳我爱你疑似精神病已被现场保安控制，事后称想学至尊宝；一女子因失恋在家狂吃芒果致过敏险丧命，该女子有相关过敏史，专家称可能和广场男是一对。郑恺喝着小酒吃着烤串讲着荤笑话，韩庚西装笔挺装的人模狗样就把电影给演了，歌不错
        "
看过,2017-12-31 21:10:56,很差,29," 原来异性恋可以如此矫情… 差点以为女主角因为服用过量芒果过敏而死。
        "
看过,2018-01-05 13:22:45,推荐,25," 虽说里面很多烂大街的网络段子  但是剧情还算流畅  看的我挺感触的  冲着让我哭了一场给四星
        "
看过,2017-12-29 02:00:59,较差,55," 前任系列的卖点是黄段子、抖机灵，一本正经地胡诌感情真理，从韩国和好莱坞那拿来套路，加点本土的夜店元素。但到这一部，创作思路完全变了，直男向性喜剧变成温水爱情片，矫揉造作得可怕。电影和爱情都怕吞吞吐吐。从头到尾都是男女对口相声，还是春晚上的那种洁本。最后，请韩庚放过《大话西游》……
        "
看过,2018-01-06 23:01:57,推荐,21," 以为这是一部彻头彻尾的喜剧电影，但是看的过程中其实我早就发现了问题不是我们看的那么简单，而结局也是我猜到的结果。这部电影的结局不是偶然，更不是你们看来两人都是放不下面子到最后互相伤害，孟云和林佳是注定要分手的，是注定而不是可惜。
        "
看过,2018-01-01 19:09:41,很差,22," 这玩意儿到底是怎么能123的往下拍，故事也就那样，不想多给分。
        "
看过,2018-01-02 23:52:56,还行,10," 像是把《春娇救志明》和《大话西游3》加入豆瓣虎扑微博男女生互黑情节后的产物，现代人多数尚不愁生存，作起来感天动地，其实为的是那一点存在感。于是，虽然电影只见段子只见情绪不见条理不见灵气，却也让许多人在看片过程中找到些许共鸣。
        "
看过,2017-12-29 21:57:05,较差,9," 第一部的评论依然适用：男默女泪哦都尅。
        "
看过,2017-12-31 23:58:44,None,16," 额…我就感觉看完了电影特别想去吃顿涮串啥的……
        "
看过,2017-12-30 00:38:17,很差,65," 这种圈钱的拉机居然还有3
        "
看过,2017-12-31 00:09:25,力荐,47," 个人感觉很不错 特别结局  ！
后来你呢！喜欢和爱的人像她，或许她爱的人像你，听着一样的歌，只是永远无法回头呢！
        "
看过,2017-12-31 16:52:19,很差,49," 可能是史上微信和《大话西游》推广最烂的一次，虽然不是主动的。别人找纸巾的时候我只能尬笑。我真的很受伤，希望年轻人以后不要再找我看电影了，真不是因为穷。
        "
看过,2017-12-29 22:34:01,很差,59," 前你全家啊前前前，没完没了还
        "
看过,2017-12-29 19:17:19,还行,35," 大家不要被宣传是喜剧骗了，这是一个大悲剧
        "
看过,2017-12-31 16:40:33,力荐,43,
看过,2017-12-23 11:14:40,较差,52,
看过,2017-12-26 22:42:06,推荐,55," 看了提前映，情节推动有点慢，片子挺长憋坏了。 比2好太多，这个是超出预期的。有笑点，前半段挺逗的，后半段不剧透了。前任留在心里，生活还要继续。 结尾的艾福杰尼和黄旭好惊喜。
        "
看过,2017-12-11 21:51:48,推荐,34," 重回第一部偏写实的都市爱情，这是导演最想也最擅长的，对分手后男女双方的心态描写有着精准的把握。当你在下一任身上找当初爱上前任时的影子的时候，你们就注定回不去了，你既不是当初的你了，前任也不是当初的自己。我们能做的就是好好对待现任，她更适合现在的你！王梓演的就是「奋斗」里的方灵珊。
        "
