是否看过,日期,评星,赞成数,评论内容
看过,2017-07-12 20:58:01,还行,11," 看来不管三观多么不正、内容多么不和谐的影片，只要挂着主旋律的幌子，就能过审。这给创作者们提供了一个很好的思路，谢谢！
        "
看过,2017-07-12 14:47:32,None,5," 导演想法很多，但整体把控是有问题的。景甜并没有穿黑衣服打，别被海报给骗了。
        "
看过,2017-08-20 13:13:21,很差,3," 简直是无比难看。
        "
看过,2017-08-18 21:21:16,很差,0," 千万不要说这是中二，中二自己吹自己的鸡儿，这片子是强行吹kneeguo的鸡儿了
        "
看过,2017-07-21 10:48:20,还行,1," 其实挺像那些年的香港电影，小点子很多，用这样一个伪满洲国的设定来讲热血高校式的校园暴力，也算是脑洞大开。但用日漫风来打日本人，先天就会召骂。故事越走越分裂，是架空的漫画式娱乐还是严肃的国仇家恨，两边都不讨好。太聪明又是也不是什么好事。
        "
看过,2017-08-21 23:15:55,较差,0," 《神TM的热血抗日开挂护体不明所以高校》
        "
看过,2017-07-08 17:00:36,还行,13," 热血高校的皮儿，抗日神剧的馅儿，剧情什么的挺弱的，漫画交代剧情还蛮有意思的。但是看顶着伪满抗日的群架，是觉得燃的，有压迫就有反抗，不管以什么形式来表达。大甜甜一如既往负责美美的，青禾五人组人设有点套路，get√了柴田的颜值。
        "
看过,2017-08-19 11:20:42,很差,3," 什么垃圾玩意儿？
        "
看过,2017-07-14 11:42:22,很差,6," 神特么烦动不动就谈信仰的人，是为了显得你的信仰很便宜吗？随时偏头插袋叼着烟突显自己多么浪荡不羁就是大哥了，是吗？都是屌丝，谁糊弄谁呢？上升到民族恩怨，家国情仇，也不行！
        "
看过,2017-11-05 22:11:54,还行,0," 将校园 青春 爱情 动作等元素与抗日 打鬼子等融合在一起 只想说三个字“燃爆了” 的确 撩妹纸与打鬼子看似判若云泥的两种类型 当被有机勾兑 匀合在本片后 原本想象中的尴尬 不搭 通通消失 取而代之的则是幽趣 高甜 燃情 激昂 当然也不乏硬朗 凄情 悲壮 豪迈之气 当然也属于最激情澎湃的校园青春爱情片
        "
看过,2017-07-14 15:47:29,很差,7,
看过,2017-07-13 23:05:19,很差,3," 不是因为难看，而是最后彻底的崩坏了。杀人的戏……
        "
看过,2017-07-16 19:34:18,还行,1,
看过,2018-01-01 06:30:24,还行,0," 除了景甜，其他都不错
        "
看过,2017-07-12 17:52:19,很差,6," 虽然是翻拍片 照搬的部分实在是太多了 欧豪这个路线不错 可惜演技不过关
        "
看过,2017-07-12 21:41:38,None,4," 剧情就这样吧不想提，据说因为不过审还删了一点所以更加松散。反正我是为了林遣都看的，无视掉比较那个啥的设定和比较那个啥的台词，在大屏幕上能看到还是相当难得的，只为人而看还是很满意的（是的节操已死请烧纸）。
        "
看过,2017-07-09 10:27:39,较差,4,
看过,2017-08-19 10:10:54,很差,1," 用漫画/动画做背景特效有点意思，可惜效果却不理想。
        "
看过,2017-07-13 23:42:44,很差,1," 激起我满腔热血和爱国热情，还被感动得泪流满面。
        "
看过,2017-08-31 11:48:43,很差,0," 丑也就算了，出来吓人也就算了，还得拼命装逼，欧豪就说你呢。
        "
看过,2017-07-12 19:59:02,较差,3,
看过,2017-07-05 12:03:52,推荐,34," 国族情感给了制霸一个理由 热血漫画打通电影次元壁 两种艺术形式的灵活转换 主旋律题材在热血包装和青春的演绎下 观众群拓宽 华丽的群架场面 兄弟情谊 友情爱情的抉择 让所有人物在相互衬托中奇迹般地立住了 钮承泽的监制 让人想起当年看艋舺的激情
        "
看过,2017-08-19 22:09:09,很差,1," 电影拍得差事小，品味太差很难得救。
        "
看过,2017-08-21 23:11:39,较差,0," 勉强两分。这混搭真是活见鬼了，乌鸦高校的壳满洲的背景抗日神剧的主旨，执行上比蒋卓原上一部差一些，轻佻的时候太轻佻，虽然也有编导延续性的对青年入世阶段迷茫的表达。热血的部分基本没什么设置，只剩下空荡荡的挥拳头，群斗场面完成的一般，配乐则根本是糊弄，尹昉出镜效果尚可，景甜大双眼皮太假
        "
看过,2017-07-12 20:46:18,较差,6," 我想看熱血高校學生打架，你卻給我上起了政治課，上就上唄，拍成《黃金大劫案》式人物成長也好，但是奈何演員撐不起來，中方演員演技被日方演員全面吊打。導演想玩漫畫風，但是拍到一半好像忘記了，拍完才想起來，就又來了一段，但是抱歉，這種程度的漫畫風，也就只能滿足中學二年級以下的人。
        "
看过,2017-07-12 16:52:52,较差,11," 欢迎大家来到《中国有武术》的海选现场
        "
看过,2017-07-14 15:48:58,还行,1," 没错，你没想错，景甜会有突破的表现（摊手）
        "
看过,2017-10-29 17:30:47,很差,3," 画虎不成反类犬
        "
看过,2017-07-16 10:22:59,很差,1," 三观不正
        "
看过,2017-09-07 12:33:40,较差,0," 风格和视听都有有意思的地方，有些细节还是很好的，但是套路在这个故事上实在有点割裂，整体感觉不好
        "
看过,2017-08-24 11:35:13,推荐,0," 对任何有创新的片子我都支持，能把热血高校和抗日背景糅合在一起，这创意简直不要太赞。那些天天拿审查说事儿的，只能说你们太懒惰，学习学习这片子吧。居然有人说片子分裂？以夷制夷不懂吗？不是主旋律远胜主旋律，这样的片子我要再赞一次！
        "
看过,2017-08-19 21:58:53,很差,1," 说了10分钟废话，还没有故事情节，这片子基本就废了，和日本演员一比，欧豪和景甜台词功底太弱，应该配音。
        "
看过,2017-08-19 13:21:34,较差,0," 柴田很帅啊～
        "
看过,2017-07-15 18:14:50,很差,3," 唯一的价值是推介了几个鲜肉帅哥。
        "
看过,2017-09-10 20:05:52,较差,0," 林遣都和黒木大哥竟然是全场人设最完整的人，stereotype呢？作为一个抗日片怎么一点都不尊重genre（。以及林遣都和黒木大哥的中文台词都是自己念的，而景甜老师读个书都要配音，更不要讲说日文的段落了
        "
看过,2017-07-13 18:48:51,很差,7," 我要是给这片2星，岂不是得回去给热血高校5星？请问这是现成的IP吗？林遣都很难再接到比这更蠢的角色了吧。
        "
